ID,ジャンル,作品名,出演者,内部メモ,画像URL,サンプル動画URL,アフィリリンク,親投稿本文,リプライ本文,投稿済み
"Z058","熟女","「混浴温泉でご近所の美熟妻と二人きり◆大きな胸を見ながらせんずりしてるのがバレて怒られるかと思ったら…」VOL.4＋2作品","謎の熟女嬢","謎の熟女嬢嬢の熟女、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1danuhd00007/1danuhd00007pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1danuhd00007/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1danuhd00007&af_id=nsplot-990&ch=api","混浴温泉でご近所の美熟妻と二人きり。小生の股間も湯気に包まれて赤くなった次第であ
https://www.dmm.co.jp/litevideo/-/part/=/cid=1danuhd00007/size=720_480/affi_id=nsplot-990/","隔離された混浴温泉という最高の舞台設定。ご近所の美熟妻との濃密な二人きり時間、そして「見られてしまった」という緊迫感がたまりません。熟女の豊かなボディラインと、そこから生まれる生々しい展開。この年代だからこその余裕と色気が際立つ傑作です。

https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1danuhd00007&af_id=nsplot-990&ch=api",
"Z059","サブスク","FANZA動画見放題チャンネルライト","","月額サブスク誘導","","","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fsvod%2F&af_id=nsplot-003&ch=toolbar&ch_id=link","小生、先月から月額見放題に切り替えた次第である。単品より圧倒的にコスパが良い。","FANZA動画見放題チャンネルライト 詳細・登録はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fsvod%2F&af_id=nsplot-003&ch=toolbar&ch_id=link",
"Z056","フェラ","【VR】種付け懇願する愛人の孕ませ淫語ASMRがず～っと耳元で聞こえる不倫SEX体験 フェラ中もピストン中も常に鼓膜を刺激する心の囁き淫乱ボイスで脳がトロけて危険中出しがやめられない… 北野未奈","北野未奈","北野未奈嬢のフェラ、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/ajvr00322/ajvr00322pl.jpg","","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dajvr00322&af_id=nsplot-990&ch=api","北野未奈の孕ませ淫語ASMR。小生の耳、不倫相手よりも妻に監視されている次第であ","北野未奈嬢の新作フェラ。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dajvr00322&af_id=nsplot-990&ch=api",
"Z052","熟女","自堕落な僕の性処理をしてくれる母性と性欲が強い熟妻は最高に具合のイイ玩具です 熟れたおばさん肉オナホに発射し放題！！","謎の熟女嬢","謎の熟女嬢嬢の熟女、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1hawa00363/1hawa00363pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1hawa363/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1hawa00363&af_id=nsplot-990&ch=api","母性と性欲が強い熟妻の性処理。小生、妻の母性に包まれて血圧が急上昇した次第である
https://www.dmm.co.jp/litevideo/-/part/=/cid=1hawa363/size=720_480/affi_id=nsplot-990/","謎の熟女嬢嬢の新作熟女。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1hawa00363&af_id=nsplot-990&ch=api",
"Z053","NTR","五十嵐なつ FALENO専属初ベスト16時間 ～決意のAVデビューから1年間12タイトルの軌跡～","五十嵐なつ","五十嵐なつ嬢のNTR、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1fcdss00068/1fcdss00068pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1fcdss068/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1fcdss00068&af_id=nsplot-990&ch=api","五十嵐なつ16時間ベスト、寝取られシーンで小生の心臓も寝取られた次第である。
https://www.dmm.co.jp/litevideo/-/part/=/cid=1fcdss068/size=720_480/affi_id=nsplot-990/","五十嵐なつ嬢の新作NTR。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1fcdss00068&af_id=nsplot-990&ch=api",
"Z054","フェラ","【VR】【8K】愛が重すぎる爆乳義妹の逆夜●い誘惑に耐え切れず、朝日が昇るまで汗だく中出し性交し続けたある夏の話。恋渕ももな","恋渕ももな","恋渕ももな嬢のフェラ、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/13dsvr01503/13dsvr01503pl.jpg","","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01503&af_id=nsplot-990&ch=api","恋渕ももなの爆乳逆夜●い。小生の心臓、朝日が昇る前に白旗を揚げた次第である。","恋渕ももな嬢の新作フェラ。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01503&af_id=nsplot-990&ch=api",
"Z055","フェラ","【VR】【8K】VR CHANNEL006 青空ひかり 8KVR 青空ひかりを感じる5コーナー×全裸観察×口淫特化×絶頂喘ぎ声特化×キス顔特化SEX×ハメ撮り特化SEX","青空ひかり","青空ひかり嬢のフェラ、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/13dsvr01710/13dsvr01710pl.jpg","","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01710&af_id=nsplot-990&ch=api","青空ひかりの8KVR フェラ。小生の老眼鏡では8Kどころか4Kすら怪しい次第であ","青空ひかり嬢の新作フェラ。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01710&af_id=nsplot-990&ch=api",
"Z049","NTR","【VR】【8K】マジックミラートリプルルーム NTR エステ 両隣で彼女と彼女の友達がヤられている中、僕も痴女エステティシャンにヤられてしまう… 神木麗降臨スペシャル","神木麗・如月りいさ・辻さくら","神木麗・如月りいさ・辻さくら嬢のNTR、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/13dsvr01668/13dsvr01668pl.jpg","","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01668&af_id=nsplot-990&ch=api","神木麗・如月りいさ・辻さくらのマジックミラーNTRトリプル。小生の心臓、既に両隣","神木麗・如月りいさ・辻さくら嬢の新作NTR。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr01668&af_id=nsplot-990&ch=api",
"Z050","フェラ","ドスケベ愛人二人の奪い合い中出し不倫。ジェラシー淫語と暴走杭打ち騎乗位で朝まで射精され続けたボク… 逢沢みゆ 彩月七緒","彩月七緒・逢沢みゆ","彩月七緒・逢沢みゆ嬢のフェラ、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/cjod00522/cjod00522pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=cjod00522/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dcjod00522&af_id=nsplot-990&ch=api","彩月七緒と逢沢みゆの奪い合い中出し不倫。小生の愚息も二人の愛人争いに挟まれたい次
https://www.dmm.co.jp/litevideo/-/part/=/cid=cjod00522/size=720_480/affi_id=nsplot-990/","彩月七緒・逢沢みゆ嬢の新作フェラ。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dcjod00522&af_id=nsplot-990&ch=api",
"Z051","フェラ","ラーメン屋唯一の女バイト、汗だくガテン系店員の性欲発散を担うセクハラOK娘。 渚恋生","渚恋生","渚恋生嬢のラーメン湯気も吹き飛ぶ迫力・・・！！","https://pics.dmm.co.jp/digital/video/1start00244/1start00244pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1start00244/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1start00244&af_id=nsplot-990&ch=api","渚恋生のラーメン屋フェラ企画。小生の股間も豚骨スープ並みに沸騰している次第である
https://www.dmm.co.jp/litevideo/-/part/=/cid=1start00244/size=720_480/affi_id=nsplot-990/","ラーメン屋の汗だく現場を舞台にした濃密な一本。渚の健気な表情とその吸い付く動きが堪能できる。セクハラOKという設定が下地になってグイグイくる場面ばかり。業界目利きからして、この出演者の活躍は必見です。

詳細・全編はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1start00244&af_id=nsplot-990&ch=api",
"Z030","熟女","ワザと手コキのような陰部洗浄で暴発させて青年患者を虜にするおばさん看護師VOL.2","謎の熟女嬢","謎の熟女嬢嬢の熟女、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dandy00976/1dandy00976pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy976/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00976&af_id=nsplot-990&ch=api","謎の熟女嬢による陰部洗浄看護師。小生の血圧、この映像一本で正常範囲を完全に逃脱し
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy976/size=720_480/affi_id=nsplot-990/","謎の熟女嬢嬢の新作熟女。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00976&af_id=nsplot-990&ch=api",
"Z031","熟女","出張先で長年一緒に働く女子社員と相部屋。「お前だけとは無いわ…」と冗談を言い合っていた関係なのにセックスしたら最高すぎた。 小沢菜穂","小沢菜穂","小沢菜穂嬢の熟れた艶、小生の下半身も火のつきたようで・・・！！","https://pics.dmm.co.jp/digital/video/1dldss00382/1dldss00382pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss382/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00382&af_id=nsplot-990&ch=api","小沢菜穂との相部屋ドラマ。小生の心臓、冗談では済まない危機的状況である。
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss382/size=720_480/affi_id=nsplot-990/","小沢菜穂嬢の新作熟女。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00382&af_id=nsplot-990&ch=api",
"Z032","熟女","妊娠中の妻にこっそり隠れて行った人妻デリヘルで義母と遭遇！「内緒にしてくれるなら…奈々の妊娠中はワタシが…」とお店以外でも欲求不満を満たし合う関係に…。 小沢菜穂","小沢菜穂","小沢菜穂嬢の熟女、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dldss00437/1dldss00437pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss437/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00437&af_id=nsplot-990&ch=api","小沢菜穂の義母役、妊娠中の妻の前での緊迫感。小生、自分の人生設定の複雑さに目まい
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss437/size=720_480/affi_id=nsplot-990/","小沢菜穂嬢の新作熟女。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00437&af_id=nsplot-990&ch=api",
"Z033","熟女","「おばさんの私に触られて勃っちゃう君が悪いんだよ」彼女が隣にいても構わずイケメン彼氏を背後からネチョいコネくり手コキで勃起誘惑する性欲熟女","謎の熟女嬢","謎の熟女嬢嬢の熟女、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dandy00991/1dandy00991pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy991/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00991&af_id=nsplot-990&ch=api","謎の熟女嬢「おばさんの私に触られて勃っちゃう君が悪い」。小生も隣に妻がいるのに勃
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy991/size=720_480/affi_id=nsplot-990/","謎の熟女嬢嬢の新作熟女。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00991&af_id=nsplot-990&ch=api",
"Z034","人妻","妻の大親友がナイトプールで逆NTR『脱いだらモデル級のビキニ姿に興奮して勃起しているのがバレて…笑顔の誘惑に我慢できず何度も浮気中出ししちゃいました。』 美乃すずめ","美乃すずめ","美乃すずめ嬢のビキニ姿、小生の愚息も耐えきれません・・・！！","https://pics.dmm.co.jp/digital/video/1dldss00389/1dldss00389pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss389/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00389&af_id=nsplot-990&ch=api","美乃すずめのナイトプール逆NTR。小生の股間、プールの底に沈む勢いである。
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss389/size=720_480/affi_id=nsplot-990/","美乃すずめ嬢の新作人妻。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00389&af_id=nsplot-990&ch=api",
"Z035","人妻","スワッピングNTR マンネリ解消の夫婦交換で巨乳妻を総取りされた温泉旅行 美乃すずめ 角奈保","美乃すずめ・角奈保","美乃すずめ・角奈保嬢の人妻、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dldss00419/1dldss00419pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss419/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00419&af_id=nsplot-990&ch=api","美乃すずめの巨乳スワッピングNTR。小生、マンネリ解消どころか血圧が急上昇した次
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dldss419/size=720_480/affi_id=nsplot-990/","美乃すずめ・角奈保嬢の新作人妻。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dldss00419&af_id=nsplot-990&ch=api",
"Z036","人妻","美乃すずめ DAHLIA専属 2nd BEST8時間 最もエロティックで、最もフェティッシュで、最もエレガントなオンナ！","美乃すずめ","美乃すずめ嬢の人妻、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dcdss00003/1dcdss00003pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dcdss003/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dcdss00003&af_id=nsplot-990&ch=api","美乃すずめDAHLIA専属ベスト8時間。小生の老体、序盤30分で白旗を揚げた次第
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dcdss003/size=720_480/affi_id=nsplot-990/","美乃すずめ嬢の新作人妻。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dcdss00003&af_id=nsplot-990&ch=api",
"Z037","人妻","【たった1枚のミラーを挟んで味わう究極の背徳感】優しい子持ちのママにこっそりデカチンを見せつけて 素股で擦りつけて育児でレス気味の欲求不満オ○ンコに旦那の目の前でヌルっと生挿入 産後の柔らかい膣穴が気持ち良すぎて中出し不倫SEX","謎の熟女嬢","謎の熟女嬢嬢の人妻、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1sdmm00204/1sdmm00204pl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1sdmm00204/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1sdmm00204&af_id=nsplot-990&ch=api","人妻・子持ちママのミラー越し背徳シーン。小生の心臓、鏡の向こう側に置き去りにされ
https://www.dmm.co.jp/litevideo/-/part/=/cid=1sdmm00204/size=720_480/affi_id=nsplot-990/","謎の熟女嬢嬢の新作人妻。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1sdmm00204&af_id=nsplot-990&ch=api",
"Z038","人妻","「おちんちん大きくさせてごめんね」子供だから大丈夫だろうと女湯に一緒に入った甥っ子がおっぱいだらけの状況にフル勃起！慌てた叔母さんがこっそり抜いてくれました 欲求不満の人妻ハーフ顔叔母さん Gカップ","謎の熟女嬢","謎の熟女嬢嬢の人妻、小生タマラン・・・！！","https://pics.dmm.co.jp/digital/video/1dandy00914b/1dandy00914bpl.jpg","https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy00914b/size=720_480/affi_id=nsplot-990/","https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00914b&af_id=nsplot-990&ch=api","人妻モノで甥が登場する銭湯企画。小生、この設定だけで血圧計の針が振り切れた次第で
https://www.dmm.co.jp/litevideo/-/part/=/cid=1dandy00914b/size=720_480/affi_id=nsplot-990/","謎の熟女嬢嬢の新作人妻。詳細・購入はこちら↓
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D1dandy00914b&af_id=nsplot-990&ch=api",
